model,r2_mean,r2_sample_sd,rmse_mean,rmse_sample_sd,mae_mean,mae_sample_sd
WL-DNN,0.8049638271331787,0.038360921134701895,549.9931844075521,41.267369980568276,427.6607259114583,47.60136713390914
Strong DNN,0.8444098035494486,0.04056484132158549,489.4254557291667,57.01466415880116,375.1322835286458,39.945918621041635
Irrigation-aware DNN,0.8630561058719953,0.03970465029071074,458.4261474609375,59.07170567638116,356.08824666341144,49.7301363664818
Process gate (V13),0.8632245833675066,0.036909232444497786,458.6737569173177,54.510030210534275,350.73607381184894,37.75412419534668
Gradient-informed NN,0.8437604332963625,0.03398845620802542,491.60374959309894,44.37332411982066,378.1122334798177,34.47262801886925
Temporal CNN,0.8453656062483788,0.02768776315925919,489.9032287597656,34.39475511664072,376.47032674153644,27.744519804296154
Multi-scale CNN,0.83394755423069,0.03759729198587163,506.6349283854167,47.16565986551628,388.5569152832031,38.48054116788714
Hybrid NN-CNN,0.8267223785320917,0.03945487214866358,517.5351155598959,48.14183114256029,395.231201171875,34.71303382329252
DSGR-Net (V16),0.8686665097872416,0.02799739860085135,450.82261149088544,41.16268732302472,343.6321512858073,29.978081126635622
